Stock_ID,Stock_Name,Stock_Industry,Stock_Industry_Prev,Stock_Market,Stock_Code,Total_Value,Total_Value_Prev
600061,国投资本,证券,,CN,sh600061,44912897223.15,0
600062,华润双鹤,化学制药,,CN,sh600062,19297574418.559998,0
600063,皖维高新,化纤行业,,CN,sh600063,9954139614.140001,0
600064,南京高科,房地产开发,,CN,sh600064,10866532964.32,0
600066,宇通客车,汽车整车,,CN,sh600066,28604094761.16,0
600067,冠城大通,房地产开发,,CN,sh600067,3785338970.0800004,0
600070,ST富润,互联网服务,,CN,sh600070,1380184391.0400002,0
600071,凤凰光学,光学光电子,,CN,sh600071,6417068930.309999,0
600072,中船科技,船舶制造,,CN,sh600072,26529847630.079998,0
600073,上海梅林,食品饮料,,CN,sh600073,6676633840.64,0
600075,新疆天业,化学原料,,CN,sh600075,7666053736.660001,0
600076,康欣新材,装修建材,,CN,sh600076,3589930789.89,0
600078,ST澄星,化肥行业,,CN,sh600078,5300582888.0,0
600079,人福医药,化学制药,,CN,sh600079,38866517005.27,0
600080,金花股份,中药,,CN,sh600080,2997360388.5499997,0
600081,东风科技,汽车零部件,,CN,sh600081,6864937689.23,0
600082,海泰发展,房地产开发,,CN,sh600082,2287250024.04,0
600083,博信股份,通信设备,,CN,sh600083,1725000000.0,0
600084,中信尼雅,酿酒行业,,CN,sh600084,9259509079.2,0
600085,同仁堂,中药,,CN,sh600085,71275309516.14,0
600088,中视传媒,文化传媒,,CN,sh600088,5309380440.0,0
600089,特变电工,电网设备,,CN,sh600089,69474762816.25,0
600094,大名城,房地产开发,,CN,sh600094,8044806435.25,0
600095,湘财股份,证券,,CN,sh600095,22587583169.7,0
600096,云天化,化肥行业,,CN,sh600096,29459319676.819996,0
600097,开创国际,农牧饲渔,,CN,sh600097,2493693385.65,0
600098,广州发展,电力行业,,CN,sh600098,19252720186.920002,0
600099,林海股份,交运设备,,CN,sh600099,2195582400.0,0
600100,同方股份,计算机设备,,CN,sh600100,27070405521.04,0
600101,明星电力,电力行业,,CN,sh600101,3485248180.8999996,0
600103,青山纸业,造纸印刷,,CN,sh600103,5787602695.57,0
600104,上汽集团,汽车整车,,CN,sh600104,170344866701.7,0
600105,永鼎股份,通信设备,,CN,sh600105,8174689303.620001,0
600106,重庆路桥,铁路公路,,CN,sh600106,8346277389.360001,0
600107,美尔雅,纺织服装,,CN,sh600107,2239200000.0,0
600108,亚盛集团,农牧饲渔,,CN,sh600108,5860214514.21,0
600109,国金证券,证券,,CN,sh600109,35567631410.5,0
600110,诺德股份,电池,,CN,sh600110,10443905741.36,0
600111,北方稀土,小金属,,CN,sh600111,73747343176.79999,0
600112,ST天成,电网设备,,CN,sh600112,1466509956.48,0
600113,浙江东日,综合行业,,CN,sh600113,3764277723.7999997,0
600114,东睦股份,通用设备,,CN,sh600114,8345832278.58,0
600115,中国东航,航空机场,,CN,sh600115,95406749319.6,0
600116,三峡水利,电力行业,,CN,sh600116,14589650357.52,0
600117,*ST西钢,钢铁行业,,CN,sh600117,3218964216.16,0
600118,中国卫星,航天航空,,CN,sh600118,31808957731.5,0
600119,长江投资,物流行业,,CN,sh600119,2688389923.2000003,0
600120,浙江东方,多元金融,,CN,sh600120,12841834409.92,0
600121,郑州煤电,煤炭行业,,CN,sh600121,5385381207.96,0
600123,兰花科创,煤炭行业,,CN,sh600123,14138342400.0,0
600125,铁龙物流,物流行业,,CN,sh600125,8081180400.06,0
600126,杭钢股份,钢铁行业,,CN,sh600126,19655240463.06,0
600127,金健米业,农牧饲渔,,CN,sh600127,4851881128.08,0
600128,苏豪弘业,贸易行业,,CN,sh600128,2208569125.0,0
600129,太极集团,中药,,CN,sh600129,25037807850.24,0
600130,波导股份,消费电子,,CN,sh600130,4147200000.0000005,0
600131,国网信通,互联网服务,,CN,sh600131,18434157044.52,0
600132,重庆啤酒,酿酒行业,,CN,sh600132,35620280172.799995,0
600133,东湖高新,工程建设,,CN,sh600133,9584611618.89,0
600135,乐凯胶片,塑料制品,,CN,sh600135,4348993798.14,0
600136,*ST明诚,文化传媒,,CN,sh600136,1416916288.89,0
600137,浪莎股份,纺织服装,,CN,sh600137,1893798614.24,0
600138,中青旅,旅游酒店,,CN,sh600138,7853664000.0,0
600141,兴发集团,化肥行业,,CN,sh600141,21588730810.980003,0
600143,金发科技,塑料制品,,CN,sh600143,20734792214.559998,0
600148,长春一东,汽车零部件,,CN,sh600148,2872783935.0,0
600149,廊坊发展,贸易行业,,CN,sh600149,2087078400.0,0
600150,中国船舶,船舶制造,,CN,sh600150,115120316230.92,0
600151,航天机电,光伏设备,,CN,sh600151,9681202937.25,0
600152,维科技术,电子元件,,CN,sh600152,4130998902.94,0
600153,建发股份,贸易行业,,CN,sh600153,29469939825.780003,0
600155,华创云信,证券,,CN,sh600155,20692026324.3,0
600156,华升股份,纺织服装,,CN,sh600156,1966321332.78,0
